alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																														
?	-0.023	0.057	0.007	0.018	-0.057	0.009	-0.034	-0.016	-0.046	0.060	-0.007	0.007	-0.092	0.057	-0.009	-0.009	-0.067	-0.051	-0.092	-0.023	-0.057	-0.041	-0.097	-0.083	-0.053	?	-0.046	-0.138	-0.002	-0.039	-0.083	-0.057	-0.067	-0.074	-0.099	-0.193	-0.108	-0.069	-0.108	-0.099	-0.170	-0.138	0.083	-0.099	-0.051	-0.154	-0.099	-0.014	0.179	0.257	0.232	0.209	-0.182	0.016	-0.028	0.133	0.297	0.076	0.018	0.124	0.179	0.016	0.368	-0.083	-0.057	-0.051	-0.193	0.131	0.099	0.274	0.117	-0.041	-0.032	-0.051	-0.021	-0.023	-0.083	-0.032
-0.031	-0.031	-0.060	0.037	-0.071	-0.018	-0.026	-0.052	0.018	0.052	0.055	-0.026	-0.037	-0.084	-0.071	-0.016	-0.134	-0.058	0.087	0.068	-0.134	-0.110	-0.157	-0.089	-0.037	0.055	0.055	0.052	-0.024	0.073	0.076	0.060	-0.089	-0.128	-0.152	-0.039	0.016	0.026	0.026	0.010	-0.008	0.042	0.018	-0.123	0.089	0.026	0.063	-0.031	0.026	0.199	0.149	0.021	-0.024	-0.194	-0.079	-0.443	0.184	0.490	-0.052	0.073	0.102	0.128	-0.010	-0.045	-0.076	-0.008	0.113	0.016	-0.066	-0.212	-0.176	-0.176	0.031	-0.024	0.018	0.003	-0.008	0.021	-0.113
-0.013	?	0.067	-0.025	0.017	0.008	-0.042	0.013	0.111	0.015	0.140	0.065	-0.019	-0.031	-0.025	0.084	-0.038	0.013	0.088	0.050	-0.117	0.025	-0.084	-0.057	-0.008	0.078	-0.002	0.006	-0.038	0.063	0.061	0.063	?	0.140	0.017	-0.159	-0.130	-0.121	-0.025	0.189	-0.029	-0.256	-0.061	0.038	-0.145	-0.029	-0.094	0.038	0.209	0.279	0.218	0.094	0.075	0.044	-0.052	-0.170	0.276	0.450	-0.061	-0.008	0.044	0.040	-0.088	-0.061	0.113	0.149	0.124	0.080	-0.063	-0.052	0.161	0.034	0.096	0.048	0.065	-0.013	-0.075	0.216	0.038
0.003	0.025	0.067	0.083	-0.010	0.080	-0.019	0.057	0.051	-0.102	0.118	0.051	0.032	-0.032	0.013	0.025	?	-0.045	0.175	0.095	0.102	0.013	-0.003	0.035	0.057	0.045	0.022	0.045	0.095	0.095	0.067	0.099	-0.102	-0.070	-0.010	0.169	-0.086	-0.080	0.035	0.118	0.060	0.019	0.051	0.108	0.118	0.156	0.169	-0.013	0.172	0.181	0.178	0.114	0.095	-0.073	0.010	-0.134	0.261	0.502	0.105	-0.064	-0.057	-0.156	-0.143	-0.204	0.092	0.146	0.083	-0.054	-0.029	0.038	0.022	0.153	0.045	0.035	0.140	-0.003	-0.048	0.169	0.105
-0.068	-0.003	-0.041	0.022	-0.200	-0.011	-0.092	-0.016	0.008	0.078	0.011	-0.041	-0.027	-0.157	-0.116	-0.032	-0.078	-0.081	0.338	0.141	0.008	-0.011	-0.092	0.038	0.070	0.065	0.027	0.019	0.114	0.068	0.084	0.070	-0.092	-0.008	-0.059	-0.024	-0.068	-0.092	-0.011	-0.068	?	0.008	-0.078	0.230	0.157	0.057	0.141	0.003	0.111	0.168	0.160	0.038	-0.032	-0.019	-0.016	-0.173	0.214	0.470	0.011	0.008	0.022	-0.151	-0.078	-0.138	0.065	0.132	0.092	0.119	-0.024	0.003	-0.078	0.160	-0.041	-0.054	0.097	-0.054	-0.103	0.211	-0.011
-0.012	-0.009	-0.009	?	-0.051	0.042	-0.069	0.119	0.092	-0.042	0.113	?	0.003	-0.086	-0.030	0.075	-0.080	-0.012	0.203	0.063	0.003	-0.054	-0.095	-0.113	-0.042	-0.042	-0.027	-0.054	0.009	-0.051	0.003	-0.009	-0.113	-0.113	-0.101	-0.021	-0.051	-0.051	-0.012	?	-0.027	0.021	0.054	-0.027	0.110	0.045	0.083	-0.051	0.089	0.158	0.122	-0.069	-0.185	-0.086	-0.095	-0.364	0.301	0.546	-0.018	-0.009	0.024	-0.125	-0.119	-0.051	0.048	0.095	0.092	0.018	-0.030	-0.060	-0.060	0.060	0.113	0.063	0.033	-0.152	-0.101	-0.018	-0.206
0.012	0.008	-0.006	-0.025	0.029	-0.019	0.062	-0.002	0.023	0.006	0.008	0.002	-0.012	-0.093	-0.025	-0.021	0.023	-0.056	0.120	0.122	-0.052	-0.066	-0.120	-0.071	-0.071	0.023	0.044	-0.025	-0.062	0.120	0.071	0.058	-0.185	-0.154	-0.133	-0.143	-0.116	-0.143	-0.060	-0.066	-0.093	-0.042	-0.025	0.023	0.149	0.116	0.139	-0.019	?	0.249	0.154	-0.006	-0.087	-0.042	-0.116	-0.361	0.293	0.471	-0.056	-0.066	-0.042	0.037	-0.056	-0.087	0.052	0.012	0.087	?	-0.066	-0.201	-0.029	-0.106	0.025	0.104	0.087	?	-0.002	0.170	0.029
0.067	-0.064	0.011	0.022	0.050	-0.061	0.086	-0.056	0.033	0.008	-0.003	-0.025	-0.003	-0.117	-0.028	-0.028	0.003	-0.047	0.125	0.089	-0.083	-0.089	-0.125	-0.056	-0.075	0.042	0.044	0.039	-0.025	0.081	0.089	0.106	-0.119	-0.125	-0.094	-0.033	-0.039	-0.094	-0.019	-0.033	-0.028	0.033	0.033	-0.155	0.158	0.092	0.142	-0.039	0.236	0.233	0.214	-0.064	-0.089	0.031	-0.125	-0.358	0.208	0.439	-0.061	-0.039	0.003	0.011	-0.083	-0.083	0.100	0.122	0.033	0.028	-0.186	-0.130	?	-0.039	0.081	0.056	0.067	0.011	0.028	0.247	0.058
